2026-06-02 16:00:57,993 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:00:57,999 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:01:02,090 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:01:02,100 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:01:02,366 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:01:02,379 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:30:46,451 | INFO | soc_platform | SOC Platform API started
2026-06-02 16:33:29,704 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:33:29,710 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:33:29,839 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:33:30,062 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:44:17,047 | INFO | soc_platform | SOC Platform API started
2026-06-02 16:44:25,557 | INFO | soc_platform | SOC Platform API started
2026-06-02 16:44:35,443 | INFO | soc_platform | SOC Platform API started
2026-06-02 16:44:53,907 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:45:09,329 | INFO | soc_platform | SOC Platform API started
2026-06-02 16:45:29,082 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:46:58,941 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:46:58,963 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:46:59,326 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:46:59,343 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:48:17,918 | INFO | soc_platform | SOC Platform API started
2026-06-02 16:49:33,672 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:49:33,677 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:49:33,803 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 16:49:33,871 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 17:27:46,168 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 17:27:49,192 | INFO | soc_platform | SOC Platform API started
2026-06-02 17:28:44,969 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=localhost record_number=None
2026-06-02 17:28:54,736 | INFO | soc_platform | SOC Platform API started
2026-06-02 17:29:16,203 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 17:31:06,709 | INFO | soc_platform | SOC Platform API started
2026-06-02 17:32:03,081 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 17:32:03,088 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 17:32:03,292 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-02 17:32:03,360 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 10:24:18,783 | INFO | soc_platform | SOC Platform API started
2026-06-03 10:26:59,892 | INFO | soc_platform | SOC Platform API started
2026-06-03 10:31:17,156 | INFO | soc_platform | SOC Platform API started
2026-06-03 10:32:04,577 | INFO | soc_platform | SOC Platform API started
2026-06-03 10:32:08,247 | INFO | soc_platform | SOC Platform API started
2026-06-03 10:32:11,682 | INFO | soc_platform | SOC Platform API started
2026-06-03 10:32:14,792 | INFO | soc_platform | SOC Platform API started
2026-06-03 10:32:26,515 | INFO | soc_platform | SOC Platform API started
2026-06-03 10:32:59,963 | INFO | soc_platform | SOC Platform API started
2026-06-03 10:43:05,050 | INFO | soc_platform | SOC Platform API started
2026-06-03 10:44:24,095 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124390
2026-06-03 10:46:29,212 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124391
2026-06-03 10:49:59,525 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=76598
2026-06-03 10:50:14,568 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124392
2026-06-03 10:55:19,999 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124393
2026-06-03 10:55:20,011 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124394
2026-06-03 11:02:40,426 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124395
2026-06-03 11:02:45,479 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=76599
2026-06-03 11:10:26,241 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124396
2026-06-03 11:10:26,262 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124397
2026-06-03 11:16:12,656 | INFO | soc_platform | SOC Platform API started
2026-06-03 11:17:49,052 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:17:50,885 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:17:52,912 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:17:54,858 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:17:56,891 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:17:59,099 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:00,902 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:02,927 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:04,935 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:06,899 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:09,168 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:10,913 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:12,995 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:15,000 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:16,985 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:18,985 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:20,957 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:22,975 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:25,078 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:27,056 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:29,049 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 11:18:31,191 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 14:11:27,423 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 14:11:49,164 | INFO | soc_platform | SOC Platform API started
2026-06-03 14:11:59,003 | INFO | soc_platform | SOC Platform API started
2026-06-03 14:12:48,592 | INFO | soc_platform | SOC Platform API started
2026-06-03 14:13:56,178 | INFO | soc_platform | SOC Platform API started
2026-06-03 14:14:35,008 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 14:18:58,985 | INFO | soc_platform | SOC Platform API started
2026-06-03 14:53:14,643 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=docker host=DESKTOP-SU06TL9 record_number=None
2026-06-03 15:05:59,974 | INFO | soc_platform | SOC Platform API started
2026-06-04 10:21:30,710 | INFO | soc_platform | SOC Platform API started
2026-06-04 11:06:42,674 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124882
2026-06-04 11:06:47,723 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=76669
2026-06-04 11:06:47,774 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124883
2026-06-04 11:07:12,850 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124884
2026-06-04 11:13:33,268 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124885
2026-06-04 11:13:38,297 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=windows-event-viewer host=DESKTOP-SU06TL9 record_number=124886
2026-06-04 11:15:33,122 | INFO | soc_platform | [DB] Log inserted into PostgreSQL — source=chrome-browser host=DESKTOP-SU06TL9 record_number=100095201
